starttime	seconds	ctime	dtime	ttime	wait
Fri Jan 08 16:28:36 2021	1610119716	137	221	358	191
Fri Jan 08 16:28:44 2021	1610119724	134	234	367	184
Fri Jan 08 16:28:44 2021	1610119724	136	232	368	185
Fri Jan 08 16:28:44 2021	1610119724	139	234	372	183
Fri Jan 08 16:28:41 2021	1610119721	142	232	374	177
Fri Jan 08 16:28:35 2021	1610119715	133	251	384	180
Fri Jan 08 16:28:54 2021	1610119734	136	250	387	186
Fri Jan 08 16:28:36 2021	1610119716	152	236	388	221
Fri Jan 08 16:28:41 2021	1610119721	144	246	390	175
Fri Jan 08 16:28:32 2021	1610119712	125	265	390	190
Fri Jan 08 16:28:59 2021	1610119739	154	238	393	199
Fri Jan 08 16:28:34 2021	1610119714	128	266	394	201
Fri Jan 08 16:28:44 2021	1610119724	136	262	397	201
Fri Jan 08 16:28:34 2021	1610119714	126	272	398	201
Fri Jan 08 16:28:33 2021	1610119713	129	271	400	201
Fri Jan 08 16:28:45 2021	1610119725	135	266	401	215
Fri Jan 08 16:28:32 2021	1610119712	139	263	402	206
Fri Jan 08 16:28:54 2021	1610119734	126	276	402	196
Fri Jan 08 16:28:41 2021	1610119721	137	265	402	149
Fri Jan 08 16:28:59 2021	1610119739	138	266	405	195
Fri Jan 08 16:28:32 2021	1610119712	135	270	405	212
Fri Jan 08 16:28:29 2021	1610119709	144	261	405	217
Fri Jan 08 16:28:53 2021	1610119733	134	273	406	184
Fri Jan 08 16:28:37 2021	1610119717	150	257	406	199
Fri Jan 08 16:28:56 2021	1610119736	149	258	407	223
Fri Jan 08 16:28:33 2021	1610119713	134	274	408	184
Fri Jan 08 16:28:56 2021	1610119736	146	262	408	214
Fri Jan 08 16:28:58 2021	1610119738	134	275	410	219
Fri Jan 08 16:28:40 2021	1610119720	125	285	410	211
Fri Jan 08 16:28:50 2021	1610119730	135	274	410	215
Fri Jan 08 16:28:33 2021	1610119713	126	285	411	208
Fri Jan 08 16:28:59 2021	1610119739	152	260	412	213
Fri Jan 08 16:28:34 2021	1610119714	134	279	413	216
Fri Jan 08 16:28:32 2021	1610119712	144	269	413	215
Fri Jan 08 16:28:31 2021	1610119711	130	284	413	218
Fri Jan 08 16:28:41 2021	1610119721	145	271	416	218
Fri Jan 08 16:28:33 2021	1610119713	126	290	416	213
Fri Jan 08 16:28:43 2021	1610119723	131	285	416	177
Fri Jan 08 16:28:49 2021	1610119729	132	284	416	225
Fri Jan 08 16:28:44 2021	1610119724	133	284	418	198
Fri Jan 08 16:28:53 2021	1610119733	141	277	418	205
Fri Jan 08 16:28:45 2021	1610119725	139	280	419	249
Fri Jan 08 16:28:50 2021	1610119730	143	276	419	205
Fri Jan 08 16:28:58 2021	1610119738	149	271	420	220
Fri Jan 08 16:28:44 2021	1610119724	142	278	420	226
Fri Jan 08 16:28:32 2021	1610119712	135	285	420	217
Fri Jan 08 16:28:36 2021	1610119716	126	294	421	222
Fri Jan 08 16:28:47 2021	1610119727	139	282	421	185
Fri Jan 08 16:28:53 2021	1610119733	135	286	421	202
Fri Jan 08 16:28:58 2021	1610119738	138	284	421	184
Fri Jan 08 16:28:35 2021	1610119715	135	287	422	220
Fri Jan 08 16:28:44 2021	1610119724	149	273	422	200
