starttime	seconds	ctime	dtime	ttime	wait
Sun Jan 03 12:41:45 2021	1609674105	101	677	778	171
Sun Jan 03 12:41:43 2021	1609674103	107	682	788	159
Sun Jan 03 12:41:43 2021	1609674103	108	684	793	160
Sun Jan 03 12:41:50 2021	1609674110	104	691	795	133
Sun Jan 03 12:41:50 2021	1609674110	112	684	796	142
Sun Jan 03 12:41:45 2021	1609674105	98	699	797	130
Sun Jan 03 12:41:48 2021	1609674108	103	697	800	139
Sun Jan 03 12:41:45 2021	1609674105	104	699	802	150
Sun Jan 03 12:41:45 2021	1609674105	103	701	804	181
Sun Jan 03 12:42:03 2021	1609674123	103	704	807	165
Sun Jan 03 12:41:45 2021	1609674105	104	704	807	156
Sun Jan 03 12:41:42 2021	1609674102	115	694	809	181
Sun Jan 03 12:41:43 2021	1609674103	108	705	813	180
Sun Jan 03 12:41:48 2021	1609674108	106	709	815	168
Sun Jan 03 12:41:52 2021	1609674112	108	709	817	201
Sun Jan 03 12:41:43 2021	1609674103	106	715	821	213
Sun Jan 03 12:41:52 2021	1609674112	113	708	822	189
Sun Jan 03 12:41:58 2021	1609674118	100	724	824	189
Sun Jan 03 12:41:50 2021	1609674110	104	721	824	203
Sun Jan 03 12:41:52 2021	1609674112	106	719	825	192
Sun Jan 03 12:41:50 2021	1609674110	114	711	825	176
Sun Jan 03 12:41:56 2021	1609674116	106	719	825	166
Sun Jan 03 12:41:58 2021	1609674118	105	720	826	163
Sun Jan 03 12:42:03 2021	1609674123	104	722	826	169
Sun Jan 03 12:41:56 2021	1609674116	101	725	826	193
Sun Jan 03 12:41:52 2021	1609674112	105	722	827	199
Sun Jan 03 12:41:45 2021	1609674105	107	720	827	121
Sun Jan 03 12:41:50 2021	1609674110	102	727	830	185
Sun Jan 03 12:42:03 2021	1609674123	107	724	830	187
Sun Jan 03 12:42:03 2021	1609674123	105	730	835	183
Sun Jan 03 12:41:55 2021	1609674115	113	724	836	183
Sun Jan 03 12:41:56 2021	1609674116	103	734	837	169
Sun Jan 03 12:41:48 2021	1609674108	111	728	839	145
Sun Jan 03 12:41:59 2021	1609674119	112	727	839	213
Sun Jan 03 12:41:50 2021	1609674110	105	737	841	200
Sun Jan 03 12:42:03 2021	1609674123	105	737	842	228
Sun Jan 03 12:41:48 2021	1609674108	104	738	842	182
Sun Jan 03 12:42:03 2021	1609674123	110	733	842	187
Sun Jan 03 12:42:00 2021	1609674120	114	729	842	165
Sun Jan 03 12:42:02 2021	1609674122	106	740	846	182
Sun Jan 03 12:41:46 2021	1609674106	104	742	846	193
Sun Jan 03 12:42:04 2021	1609674124	103	744	847	140
Sun Jan 03 12:41:54 2021	1609674114	110	738	847	171
Sun Jan 03 12:41:50 2021	1609674110	104	744	847	157
Sun Jan 03 12:41:45 2021	1609674105	104	748	852	155
Sun Jan 03 12:41:50 2021	1609674110	110	742	852	162
Sun Jan 03 12:41:55 2021	1609674115	101	751	852	159
Sun Jan 03 12:41:54 2021	1609674114	105	747	853	194
Sun Jan 03 12:42:04 2021	1609674124	103	750	853	139
Sun Jan 03 12:42:03 2021	1609674123	109	745	854	186
Sun Jan 03 12:41:52 2021	1609674112	103	751	854	171
Sun Jan 03 12:41:54 2021	1609674114	106	749	854	216
Sun Jan 03 12:41:54 2021	1609674114	104	751	855	152
Sun Jan 03 12:41:55 2021	1609674115	105	750	855	216
Sun Jan 03 12:41:45 2021	1609674105	121	735	856	172
Sun Jan 03 12:41:45 2021	1609674105	113	743	856	207
Sun Jan 03 12:41:45 2021	1609674105	106	752	858	172
Sun Jan 03 12:41:55 2021	1609674115	104	756	859	187
Sun Jan 03 12:41:55 2021	1609674115	113	747	860	236
Sun Jan 03 12:41:55 2021	1609674115	104	757	860	154
Sun Jan 03 12:42:02 2021	1609674122	116	744	860	199
Sun Jan 03 12:41:52 2021	1609674112	107	756	862	195
Sun Jan 03 12:41:54 2021	1609674114	115	747	862	192
Sun Jan 03 12:42:03 2021	1609674123	104	759	863	211
Sun Jan 03 12:41:51 2021	1609674111	103	760	864	199
Sun Jan 03 12:41:58 2021	1609674118	104	759	864	210
Sun Jan 03 12:41:45 2021	1609674105	113	752	865	143
Sun Jan 03 12:41:55 2021	1609674115	103	762	865	226
Sun Jan 03 12:41:54 2021	1609674114	106	760	866	186
Sun Jan 03 12:41:50 2021	1609674110	102	764	866	219
Sun Jan 03 12:41:50 2021	1609674110	113	753	866	197
Sun Jan 03 12:41:43 2021	1609674103	100	767	868	219
Sun Jan 03 12:42:00 2021	1609674120	117	751	868	246
Sun Jan 03 12:41:48 2021	1609674108	103	766	869	198
Sun Jan 03 12:41:54 2021	1609674114	105	764	869	137
Sun Jan 03 12:42:02 2021	1609674122	103	766	869	220
Sun Jan 03 12:41:59 2021	1609674119	103	766	869	218
Sun Jan 03 12:41:48 2021	1609674108	120	750	870	158
Sun Jan 03 12:41:56 2021	1609674116	104	766	870	264
Sun Jan 03 12:42:03 2021	1609674123	119	752	871	247
Sun Jan 03 12:42:03 2021	1609674123	113	758	871	227
Sun Jan 03 12:41:50 2021	1609674110	113	759	872	181
Sun Jan 03 12:41:51 2021	1609674111	104	769	873	219
Sun Jan 03 12:42:03 2021	1609674123	100	773	873	152
Sun Jan 03 12:41:50 2021	1609674110	103	770	873	268
