starttime	seconds	ctime	dtime	ttime	wait
Wed Jan 06 22:39:37 2021	1609969177	103	677	780	166
Wed Jan 06 22:39:42 2021	1609969182	104	683	787	135
Wed Jan 06 22:39:24 2021	1609969164	114	674	788	167
Wed Jan 06 22:39:30 2021	1609969170	109	679	788	127
Wed Jan 06 22:39:34 2021	1609969174	105	684	789	150
Wed Jan 06 22:39:24 2021	1609969164	104	690	794	162
Wed Jan 06 22:39:30 2021	1609969170	104	697	801	141
Wed Jan 06 22:39:34 2021	1609969174	103	704	808	162
Wed Jan 06 22:39:34 2021	1609969174	102	717	820	188
Wed Jan 06 22:39:29 2021	1609969169	112	709	821	172
Wed Jan 06 22:39:49 2021	1609969189	102	719	822	163
Wed Jan 06 22:39:25 2021	1609969165	112	710	822	127
Wed Jan 06 22:39:53 2021	1609969193	112	712	824	158
Wed Jan 06 22:39:30 2021	1609969170	104	721	824	149
Wed Jan 06 22:39:26 2021	1609969166	99	728	826	181
Wed Jan 06 22:39:25 2021	1609969165	113	714	827	158
Wed Jan 06 22:39:30 2021	1609969170	102	726	828	170
Wed Jan 06 22:39:53 2021	1609969193	105	726	831	180
Wed Jan 06 22:39:53 2021	1609969193	112	720	832	141
Wed Jan 06 22:39:34 2021	1609969174	107	730	836	142
Wed Jan 06 22:39:25 2021	1609969165	100	741	840	151
Wed Jan 06 22:39:30 2021	1609969170	115	733	848	169
Wed Jan 06 22:39:29 2021	1609969169	113	739	852	187
Wed Jan 06 22:39:26 2021	1609969166	112	741	853	172
Wed Jan 06 22:39:30 2021	1609969170	103	751	854	210
Wed Jan 06 22:39:26 2021	1609969166	105	753	858	206
Wed Jan 06 22:39:26 2021	1609969166	103	761	865	175
Wed Jan 06 22:39:38 2021	1609969178	109	759	867	254
Wed Jan 06 22:39:53 2021	1609969193	115	757	872	190
Wed Jan 06 22:39:45 2021	1609969185	112	761	873	258
Wed Jan 06 22:39:34 2021	1609969174	113	767	881	199
Wed Jan 06 22:39:26 2021	1609969166	113	768	881	167
Wed Jan 06 22:39:49 2021	1609969189	104	779	882	178
Wed Jan 06 22:39:43 2021	1609969183	105	777	883	231
Wed Jan 06 22:39:39 2021	1609969179	118	765	883	166
Wed Jan 06 22:39:25 2021	1609969165	104	780	884	252
Wed Jan 06 22:39:46 2021	1609969186	104	783	887	207
Wed Jan 06 22:39:30 2021	1609969170	113	774	887	154
Wed Jan 06 22:39:53 2021	1609969193	104	786	890	219
Wed Jan 06 22:39:42 2021	1609969182	99	803	903	213
Wed Jan 06 22:39:52 2021	1609969192	116	787	903	237
Wed Jan 06 22:39:25 2021	1609969165	114	791	905	185
Wed Jan 06 22:39:37 2021	1609969177	112	794	906	164
Wed Jan 06 22:39:37 2021	1609969177	103	804	907	218
Wed Jan 06 22:39:28 2021	1609969168	102	805	907	299
Wed Jan 06 22:39:37 2021	1609969177	111	797	908	226
Wed Jan 06 22:39:46 2021	1609969186	106	803	909	219
Wed Jan 06 22:39:44 2021	1609969184	104	807	911	229
Wed Jan 06 22:39:50 2021	1609969190	113	798	911	224
Wed Jan 06 22:39:47 2021	1609969187	108	805	912	287
Wed Jan 06 22:39:46 2021	1609969186	101	813	914	234
Wed Jan 06 22:39:25 2021	1609969165	112	805	917	224
Wed Jan 06 22:39:28 2021	1609969168	99	825	924	322
Wed Jan 06 22:39:37 2021	1609969177	112	815	927	258
Wed Jan 06 22:39:44 2021	1609969184	100	833	933	264
Wed Jan 06 22:39:24 2021	1609969164	102	832	934	328
Wed Jan 06 22:39:42 2021	1609969182	103	831	934	239
Wed Jan 06 22:39:46 2021	1609969186	105	833	938	261
Wed Jan 06 22:39:46 2021	1609969186	117	833	950	245
Wed Jan 06 22:39:30 2021	1609969170	104	847	951	259
Wed Jan 06 22:39:49 2021	1609969189	106	856	962	190
Wed Jan 06 22:39:47 2021	1609969187	104	863	967	354
Wed Jan 06 22:39:50 2021	1609969190	106	861	967	205
Wed Jan 06 22:39:24 2021	1609969164	111	856	967	347
Wed Jan 06 22:39:51 2021	1609969191	118	854	972	349
Wed Jan 06 22:39:29 2021	1609969169	105	869	974	259
Wed Jan 06 22:39:54 2021	1609969194	100	885	985	194
Wed Jan 06 22:39:50 2021	1609969190	113	874	987	304
Wed Jan 06 22:39:54 2021	1609969194	117	874	992	281
Wed Jan 06 22:39:45 2021	1609969185	105	891	996	308
Wed Jan 06 22:39:33 2021	1609969173	107	904	1011	400
Wed Jan 06 22:39:24 2021	1609969164	112	905	1017	369
Wed Jan 06 22:39:33 2021	1609969173	104	916	1020	344
Wed Jan 06 22:39:29 2021	1609969169	103	921	1024	347
Wed Jan 06 22:39:24 2021	1609969164	113	926	1039	331
Wed Jan 06 22:39:49 2021	1609969189	104	935	1039	283
Wed Jan 06 22:39:33 2021	1609969173	104	947	1051	336
Wed Jan 06 22:39:29 2021	1609969169	105	953	1058	287
Wed Jan 06 22:39:47 2021	1609969187	104	969	1073	346
Wed Jan 06 22:39:49 2021	1609969189	111	964	1074	288
Wed Jan 06 22:39:33 2021	1609969173	114	978	1091	351
Wed Jan 06 22:39:28 2021	1609969168	113	1024	1138	504
Wed Jan 06 22:39:06 2021	1609969146	106	1224	1329	783
Wed Jan 06 22:39:06 2021	1609969146	101	1253	1354	788
Wed Jan 06 22:39:06 2021	1609969146	108	1268	1376	781
Wed Jan 06 22:39:06 2021	1609969146	108	1372	1480	872
Wed Jan 06 22:39:06 2021	1609969146	113	1437	1550	926
Wed Jan 06 22:39:06 2021	1609969146	114	1436	1550	924
Wed Jan 06 22:39:06 2021	1609969146	119	1540	1660	1077
Wed Jan 06 22:39:06 2021	1609969146	114	1552	1666	1082
Wed Jan 06 22:39:06 2021	1609969146	113	1557	1670	1084
Wed Jan 06 22:39:06 2021	1609969146	126	1563	1689	1071
Wed Jan 06 22:39:06 2021	1609969146	113	1594	1707	1091
Wed Jan 06 22:39:06 2021	1609969146	119	1613	1732	1107
Wed Jan 06 22:39:06 2021	1609969146	129	1610	1739	1108
Wed Jan 06 22:39:06 2021	1609969146	126	1668	1794	1162
Wed Jan 06 22:39:06 2021	1609969146	126	1693	1819	1189
Wed Jan 06 22:39:06 2021	1609969146	121	1710	1831	1200
Wed Jan 06 22:39:06 2021	1609969146	142	1695	1837	1187
Wed Jan 06 22:39:06 2021	1609969146	135	1729	1864	1224
Wed Jan 06 22:39:06 2021	1609969146	127	1802	1929	1291
Wed Jan 06 22:39:54 2021	1609969194	105	2098	2203	1584
Wed Jan 06 22:39:06 2021	1609969146	119	2168	2288	1660
Wed Jan 06 22:39:06 2021	1609969146	142	2219	2361	1716
Wed Jan 06 22:39:53 2021	1609969193	104	2550	2655	2048
Wed Jan 06 22:39:14 2021	1609969154	104	2597	2702	2101
Wed Jan 06 22:39:53 2021	1609969193	110	2618	2728	2112
Wed Jan 06 22:39:06 2021	1609969146	142	2594	2736	2077
Wed Jan 06 22:39:06 2021	1609969146	135	2601	2736	2056
Wed Jan 06 22:39:06 2021	1609969146	133	2611	2744	2089
Wed Jan 06 22:39:06 2021	1609969146	133	2615	2749	2104
Wed Jan 06 22:39:06 2021	1609969146	133	2675	2809	2173
Wed Jan 06 22:39:53 2021	1609969193	100	2709	2809	2202
Wed Jan 06 22:39:53 2021	1609969193	112	2699	2812	2188
Wed Jan 06 22:39:53 2021	1609969193	99	2742	2841	2237
Wed Jan 06 22:39:21 2021	1609969161	111	2739	2850	2236
Wed Jan 06 22:39:14 2021	1609969154	105	2784	2889	2267
Wed Jan 06 22:39:06 2021	1609969146	153	2743	2896	2240
