starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:25:17 2021	1610209517	132	711	843	204
Sat Jan 09 17:25:32 2021	1610209532	134	711	844	179
Sat Jan 09 17:25:19 2021	1610209519	127	723	850	170
Sat Jan 09 17:25:35 2021	1610209535	134	720	853	206
Sat Jan 09 17:25:39 2021	1610209539	128	729	857	188
Sat Jan 09 17:25:25 2021	1610209525	143	726	869	217
Sat Jan 09 17:25:25 2021	1610209525	126	747	872	187
Sat Jan 09 17:25:35 2021	1610209535	137	744	881	185
Sat Jan 09 17:25:20 2021	1610209520	134	747	881	212
Sat Jan 09 17:25:24 2021	1610209524	143	740	883	222
Sat Jan 09 17:25:26 2021	1610209526	126	760	887	199
Sat Jan 09 17:25:28 2021	1610209528	137	750	887	220
Sat Jan 09 17:25:19 2021	1610209519	142	746	888	224
Sat Jan 09 17:25:18 2021	1610209518	132	760	892	221
Sat Jan 09 17:25:36 2021	1610209536	136	757	894	217
Sat Jan 09 17:25:30 2021	1610209530	126	768	894	259
Sat Jan 09 17:25:41 2021	1610209541	140	759	899	217
Sat Jan 09 17:25:16 2021	1610209516	141	761	903	205
Sat Jan 09 17:25:17 2021	1610209517	131	771	903	212
Sat Jan 09 17:25:26 2021	1610209526	136	769	905	235
Sat Jan 09 17:25:40 2021	1610209540	148	768	916	196
Sat Jan 09 17:25:26 2021	1610209526	124	797	921	213
Sat Jan 09 17:25:18 2021	1610209518	138	783	921	239
Sat Jan 09 17:25:19 2021	1610209519	133	789	922	205
Sat Jan 09 17:25:26 2021	1610209526	130	795	925	290
Sat Jan 09 17:25:25 2021	1610209525	159	774	933	240
Sat Jan 09 17:25:25 2021	1610209525	132	801	933	296
Sat Jan 09 17:25:26 2021	1610209526	133	800	933	191
Sat Jan 09 17:25:18 2021	1610209518	150	785	935	189
Sat Jan 09 17:25:25 2021	1610209525	148	787	935	251
Sat Jan 09 17:25:19 2021	1610209519	132	804	936	267
Sat Jan 09 17:25:23 2021	1610209523	134	802	936	260
Sat Jan 09 17:25:40 2021	1610209540	135	803	938	258
Sat Jan 09 17:25:34 2021	1610209534	139	800	939	249
Sat Jan 09 17:25:27 2021	1610209527	134	805	940	295
Sat Jan 09 17:25:40 2021	1610209540	131	810	941	273
Sat Jan 09 17:25:25 2021	1610209525	142	805	948	255
Sat Jan 09 17:25:41 2021	1610209541	145	804	949	242
Sat Jan 09 17:25:42 2021	1610209542	143	807	950	224
Sat Jan 09 17:25:26 2021	1610209526	136	816	953	281
Sat Jan 09 17:25:32 2021	1610209532	158	796	953	305
Sat Jan 09 17:25:17 2021	1610209517	125	829	954	297
Sat Jan 09 17:25:34 2021	1610209534	127	828	955	270
Sat Jan 09 17:25:19 2021	1610209519	160	799	958	222
Sat Jan 09 17:25:34 2021	1610209534	131	828	959	237
