starttime	seconds	ctime	dtime	ttime	wait
Sat Jan 09 17:32:50 2021	1610209970	136	686	822	165
Sat Jan 09 17:33:05 2021	1610209985	125	706	831	146
Sat Jan 09 17:32:40 2021	1610209960	141	693	835	202
Sat Jan 09 17:32:40 2021	1610209960	134	711	844	187
Sat Jan 09 17:32:44 2021	1610209964	126	726	852	183
Sat Jan 09 17:32:55 2021	1610209975	135	720	854	208
Sat Jan 09 17:33:16 2021	1610209996	138	719	857	223
Sat Jan 09 17:33:05 2021	1610209985	140	718	858	197
Sat Jan 09 17:32:50 2021	1610209970	139	720	860	198
Sat Jan 09 17:32:44 2021	1610209964	134	733	867	182
Sat Jan 09 17:32:40 2021	1610209960	142	725	867	168
Sat Jan 09 17:32:57 2021	1610209977	139	732	871	210
Sat Jan 09 17:32:40 2021	1610209960	148	723	872	189
Sat Jan 09 17:33:26 2021	1610210006	140	733	873	185
Sat Jan 09 17:32:54 2021	1610209974	135	743	878	191
Sat Jan 09 17:33:10 2021	1610209990	137	744	881	187
Sat Jan 09 17:33:07 2021	1610209987	131	751	883	200
Sat Jan 09 17:32:50 2021	1610209970	132	752	884	215
Sat Jan 09 17:33:07 2021	1610209987	134	754	889	236
Sat Jan 09 17:32:44 2021	1610209964	132	759	891	181
Sat Jan 09 17:32:39 2021	1610209959	147	745	892	172
Sat Jan 09 17:32:46 2021	1610209966	135	759	893	244
Sat Jan 09 17:33:26 2021	1610210006	127	769	896	241
Sat Jan 09 17:33:12 2021	1610209992	133	764	897	222
Sat Jan 09 17:33:25 2021	1610210005	138	759	897	232
Sat Jan 09 17:32:45 2021	1610209965	133	765	898	210
Sat Jan 09 17:32:49 2021	1610209969	147	750	898	187
Sat Jan 09 17:33:05 2021	1610209985	135	763	898	205
Sat Jan 09 17:33:18 2021	1610209998	138	763	901	193
Sat Jan 09 17:32:51 2021	1610209971	125	776	901	206
Sat Jan 09 17:33:15 2021	1610209995	136	766	902	178
Sat Jan 09 17:32:45 2021	1610209965	125	780	905	179
Sat Jan 09 17:33:02 2021	1610209982	131	774	905	213
Sat Jan 09 17:32:41 2021	1610209961	136	769	905	190
Sat Jan 09 17:32:49 2021	1610209969	138	767	905	161
Sat Jan 09 17:32:44 2021	1610209964	142	764	906	244
Sat Jan 09 17:33:24 2021	1610210004	141	768	909	209
Sat Jan 09 17:33:24 2021	1610210004	153	757	910	188
Sat Jan 09 17:33:20 2021	1610210000	126	784	910	265
Sat Jan 09 17:33:15 2021	1610209995	155	755	910	188
Sat Jan 09 17:32:38 2021	1610209958	135	775	911	235
Sat Jan 09 17:32:40 2021	1610209960	125	787	913	201
Sat Jan 09 17:33:12 2021	1610209992	148	765	913	246
Sat Jan 09 17:32:40 2021	1610209960	148	765	914	182
Sat Jan 09 17:33:07 2021	1610209987	159	756	915	232
Sat Jan 09 17:33:19 2021	1610209999	137	778	915	219
Sat Jan 09 17:32:44 2021	1610209964	139	779	918	215
Sat Jan 09 17:32:38 2021	1610209958	140	786	926	189
Sat Jan 09 17:32:55 2021	1610209975	132	795	927	208
Sat Jan 09 17:33:02 2021	1610209982	148	781	929	220
Sat Jan 09 17:33:02 2021	1610209982	127	803	930	212
Sat Jan 09 17:32:40 2021	1610209960	131	801	931	256
Sat Jan 09 17:32:39 2021	1610209959	144	788	932	196
Sat Jan 09 17:33:05 2021	1610209985	127	805	932	200
Sat Jan 09 17:33:07 2021	1610209987	142	790	932	222
Sat Jan 09 17:33:12 2021	1610209992	138	799	936	265
Sat Jan 09 17:32:57 2021	1610209977	139	798	937	283
Sat Jan 09 17:33:13 2021	1610209993	136	802	938	203
Sat Jan 09 17:33:15 2021	1610209995	126	814	939	214
Sat Jan 09 17:33:12 2021	1610209992	134	805	940	189
Sat Jan 09 17:32:49 2021	1610209969	125	817	942	226
Sat Jan 09 17:33:19 2021	1610209999	140	805	945	222
Sat Jan 09 17:32:49 2021	1610209969	139	807	946	244
Sat Jan 09 17:33:25 2021	1610210005	133	815	948	221
Sat Jan 09 17:32:38 2021	1610209958	134	815	949	273
Sat Jan 09 17:32:39 2021	1610209959	159	794	953	240
Sat Jan 09 17:33:24 2021	1610210004	154	799	953	242
Sat Jan 09 17:32:39 2021	1610209959	141	814	954	250
Sat Jan 09 17:33:25 2021	1610210005	149	807	955	231
Sat Jan 09 17:33:12 2021	1610209992	141	817	957	233
Sat Jan 09 17:32:38 2021	1610209958	128	834	963	275
Sat Jan 09 17:33:02 2021	1610209982	133	831	964	286
Sat Jan 09 17:33:17 2021	1610209997	141	825	966	294
Sat Jan 09 17:33:25 2021	1610210005	126	841	967	233
Sat Jan 09 17:33:24 2021	1610210004	133	835	968	241
Sat Jan 09 17:32:39 2021	1610209959	159	812	971	231
Sat Jan 09 17:32:40 2021	1610209960	132	841	973	229
Sat Jan 09 17:32:55 2021	1610209975	126	849	975	259
Sat Jan 09 17:33:19 2021	1610209999	140	836	975	239
Sat Jan 09 17:33:05 2021	1610209985	144	832	976	230
Sat Jan 09 17:33:05 2021	1610209985	127	850	977	292
Sat Jan 09 17:32:39 2021	1610209959	126	851	977	298
Sat Jan 09 17:32:51 2021	1610209971	131	850	981	275
Sat Jan 09 17:32:54 2021	1610209974	130	854	984	358
Sat Jan 09 17:32:55 2021	1610209975	147	839	986	262
Sat Jan 09 17:32:57 2021	1610209977	146	840	987	273
Sat Jan 09 17:32:54 2021	1610209974	129	859	988	257
Sat Jan 09 17:32:44 2021	1610209964	134	856	989	269
Sat Jan 09 17:33:10 2021	1610209990	131	859	989	287
Sat Jan 09 17:33:11 2021	1610209991	127	863	990	255
Sat Jan 09 17:32:44 2021	1610209964	159	831	990	295
Sat Jan 09 17:32:57 2021	1610209977	141	850	991	272
Sat Jan 09 17:32:45 2021	1610209965	139	852	991	286
Sat Jan 09 17:32:57 2021	1610209977	153	839	992	262
Sat Jan 09 17:33:00 2021	1610209980	136	856	992	748
Sat Jan 09 17:33:11 2021	1610209991	143	855	997	360
Sat Jan 09 17:32:57 2021	1610209977	147	852	999	306
Sat Jan 09 17:33:10 2021	1610209990	138	862	999	234
Sat Jan 09 17:33:20 2021	1610210000	126	878	1003	287
Sat Jan 09 17:33:05 2021	1610209985	150	856	1006	329
Sat Jan 09 17:33:18 2021	1610209998	139	874	1014	372
Sat Jan 09 17:33:12 2021	1610209992	149	866	1015	234
Sat Jan 09 17:33:25 2021	1610210005	143	876	1020	264
Sat Jan 09 17:33:07 2021	1610209987	136	887	1023	235
Sat Jan 09 17:33:15 2021	1610209995	131	893	1024	271
Sat Jan 09 17:33:21 2021	1610210001	135	892	1027	295
Sat Jan 09 17:32:54 2021	1610209974	139	889	1027	254
Sat Jan 09 17:33:10 2021	1610209990	131	900	1031	292
Sat Jan 09 17:33:07 2021	1610209987	125	906	1031	240
Sat Jan 09 17:32:48 2021	1610209968	132	901	1032	241
Sat Jan 09 17:33:10 2021	1610209990	130	903	1033	262
Sat Jan 09 17:32:57 2021	1610209977	132	907	1039	203
Sat Jan 09 17:32:45 2021	1610209965	125	921	1046	379
Sat Jan 09 17:33:11 2021	1610209991	134	915	1049	314
Sat Jan 09 17:33:19 2021	1610209999	141	909	1049	325
Sat Jan 09 17:33:10 2021	1610209990	136	918	1054	303
Sat Jan 09 17:33:10 2021	1610209990	160	898	1057	260
Sat Jan 09 17:33:07 2021	1610209987	146	912	1058	248
Sat Jan 09 17:33:19 2021	1610209999	133	927	1060	309
Sat Jan 09 17:33:17 2021	1610209997	133	931	1064	341
Sat Jan 09 17:33:20 2021	1610210000	142	923	1065	411
Sat Jan 09 17:32:55 2021	1610209975	135	931	1066	329
Sat Jan 09 17:32:44 2021	1610209964	150	916	1066	339
Sat Jan 09 17:32:46 2021	1610209966	141	927	1068	369
Sat Jan 09 17:32:55 2021	1610209975	149	920	1069	322
Sat Jan 09 17:33:02 2021	1610209982	132	937	1069	362
Sat Jan 09 17:32:55 2021	1610209975	149	922	1071	399
Sat Jan 09 17:32:50 2021	1610209970	131	940	1072	396
Sat Jan 09 17:32:44 2021	1610209964	152	921	1074	304
Sat Jan 09 17:32:51 2021	1610209971	136	942	1078	393
Sat Jan 09 17:32:55 2021	1610209975	151	927	1078	329
Sat Jan 09 17:33:01 2021	1610209981	127	952	1079	367
Sat Jan 09 17:32:57 2021	1610209977	142	937	1079	318
Sat Jan 09 17:33:05 2021	1610209985	139	940	1079	271
Sat Jan 09 17:32:46 2021	1610209966	134	947	1081	342
Sat Jan 09 17:32:54 2021	1610209974	155	961	1115	210
Sat Jan 09 17:33:22 2021	1610210002	150	969	1118	381
Sat Jan 09 17:33:22 2021	1610210002	135	985	1121	294
Sat Jan 09 17:32:50 2021	1610209970	153	969	1123	468
Sat Jan 09 17:33:07 2021	1610209987	136	987	1123	253
Sat Jan 09 17:32:50 2021	1610209970	147	977	1125	415
Sat Jan 09 17:32:50 2021	1610209970	132	996	1128	343
Sat Jan 09 17:33:05 2021	1610209985	138	1000	1139	332
Sat Jan 09 17:32:46 2021	1610209966	148	1003	1152	444
Sat Jan 09 17:32:46 2021	1610209966	149	1011	1160	198
Sat Jan 09 17:32:50 2021	1610209970	124	1039	1163	444
Sat Jan 09 17:32:46 2021	1610209966	140	1028	1168	403
Sat Jan 09 17:33:22 2021	1610210002	133	1116	1249	539
Sat Jan 09 17:32:50 2021	1610209970	131	1130	1262	533
Sat Jan 09 17:32:38 2021	1610209958	140	1150	1290	498
Sat Jan 09 17:33:00 2021	1610209980	139	1162	1301	351
Sat Jan 09 17:33:00 2021	1610209980	134	1181	1315	367
Sat Jan 09 17:32:38 2021	1610209958	159	1179	1337	580
Sat Jan 09 17:33:00 2021	1610209980	138	1267	1405	306
Sat Jan 09 17:33:00 2021	1610209980	147	1327	1475	363
Sat Jan 09 17:33:00 2021	1610209980	133	1358	1491	379
Sat Jan 09 17:32:37 2021	1610209957	141	1351	1492	850
Sat Jan 09 17:32:29 2021	1610209949	619	894	1512	517
Sat Jan 09 17:32:29 2021	1610209949	619	895	1513	518
Sat Jan 09 17:33:00 2021	1610209980	143	1375	1518	375
Sat Jan 09 17:32:59 2021	1610209979	153	1645	1798	657
Sat Jan 09 17:32:29 2021	1610209949	618	1258	1876	893
Sat Jan 09 17:32:29 2021	1610209949	621	1497	2119	890
Sat Jan 09 17:32:29 2021	1610209949	621	1499	2120	944
Sat Jan 09 17:32:29 2021	1610209949	618	1502	2121	1001
Sat Jan 09 17:32:29 2021	1610209949	624	1497	2122	964
Sat Jan 09 17:32:29 2021	1610209949	618	1559	2178	1068
Sat Jan 09 17:32:29 2021	1610209949	618	1758	2376	1257
Sat Jan 09 17:32:29 2021	1610209949	621	1927	2548	1499
Sat Jan 09 17:32:29 2021	1610209949	618	2448	3066	1969
Sat Jan 09 17:32:29 2021	1610209949	621	2454	3075	1948
Sat Jan 09 17:33:27 2021	1610210007	139	2943	3082	2448
Sat Jan 09 17:32:29 2021	1610209949	618	2467	3085	1944
Sat Jan 09 17:32:29 2021	1610209949	621	2465	3086	1968
Sat Jan 09 17:33:27 2021	1610210007	137	2965	3102	2466
